NeU Anaritics: NX (C) NeU Corporation. 2020. All rights reserved
Data format version 1.0
Bluetooth Address,C0:84:32:37:5D:42
""
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark,Accerelo-X,Accerelo-Y,Accerelo-Z,Gyro-X,Gyro-Y,Gyro-Z,Button
2020-05-07 11:53:23 +0900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.1,0.0363800000000003,0.028200000000000003,0.0,0.061169999999999725,0.09755000000000003,0.06020000000000003,0.08840000000000003,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.2,0.06523999999999974,0.03645999999999949,0.0,0.08584000000000014,0.15107999999999988,0.12379000000000007,0.16024999999999956,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.30000000000000004,0.06684000000000045,0.0357700000000003,0.0,0.07348999999999961,0.14033000000000007,0.11845999999999979,0.1542300000000001,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.4,0.05732999999999988,0.03564999999999996,0.0,0.06423999999999985,0.12156999999999973,0.09453999999999985,0.1301899999999998,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.5,0.043769999999999865,0.026580000000000048,0.0,0.04579999999999984,0.0895699999999997,0.0707399999999998,0.09731999999999985,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.6000000000000001,0.02546999999999988,0.01104999999999956,0.0,0.024379999999999846,0.04984999999999973,0.04179999999999984,0.0528499999999994,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.7000000000000001,0.002609999999999779,-0.001960000000000406,0.0,0.0,0.002609999999999779,0.007810000000000095,0.005849999999999689,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.8,0.035800000000000054,0.023540000000000116,0.0,0.04579999999999984,0.0815999999999999,0.047050000000000036,0.07059000000000015,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:23 +0900,0.9,0.07601999999999975,0.04710999999999954,0.0,0.08584000000000014,0.1618599999999999,0.11314000000000002,0.16024999999999956,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:24 +0900,1.0,0.07950000000000035,0.04710999999999954,0.0,0.07965999999999962,0.15915999999999997,0.11314000000000002,0.16024999999999956,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:24 +0900,1.1,0.07529999999999948,0.0446500000000003,0.0,0.07040000000000024,0.14569999999999972,0.09453999999999985,0.13919000000000015,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:24 +0900,1.2000000000000002,0.06347999999999976,0.0385099999999996,0.0,0.058089999999999975,0.12156999999999973,0.0707399999999998,0.1092499999999994,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
2020-05-07 11:53:24 +0900,1.3,0.04499000000000031,0.023209999999999287,0.0,0.03660999999999959,0.0815999999999999,0.044420000000000126,0.06762999999999941,0,0,0,0,0,1057:FRAME_Fixation.jpg,0.0,0.0,0.0,0.0,0.0,0.0,
