NeU Anaritics: NX (C) NeU Corporation. 2020. All rights reserved
Data format version 1.0
Bluetooth Address,C0:84:40:37:5D:42
""
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark,Accerelo-X,Accerelo-Y,Accerelo-Z,Gyro-X,Gyro-Y,Gyro-Z,Button
2020-05-10 21:33:02 +0900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,282:FRAME_rest.png,0.0,0.0,0.0,0.732422,1.34277,16.1133,
2020-05-10 21:33:03 +0900,0.1,-0.05305000000000071,-41.5888,0.0,-0.03662999999999972,-0.08968000000000043,41.5888,0.0,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,3.23486,2.38037,16.7847,
2020-05-10 21:33:03 +0900,0.2,-0.05682000000000009,-41.5888,0.0,-0.03943999999999992,-0.09626000000000001,41.5888,0.0,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,1.83105,5.31006,13.7329,
2020-05-10 21:33:03 +0900,0.30000000000000004,-0.060100000000000264,-43.02719999999999,0.0,-0.03943999999999992,-0.09954000000000018,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,3.54004,9.46045,17.334,
2020-05-10 21:33:03 +0900,0.4,-0.09279000000000082,-43.02719999999999,0.0,-0.05903999999999954,-0.15183000000000035,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,2.0752,10.8032,17.0288,
2020-05-10 21:33:03 +0900,0.5,-0.1245800000000008,-43.02719999999999,0.0,-0.07577999999999996,-0.20036000000000076,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,1.95312,10.0708,11.6577,
2020-05-10 21:33:03 +0900,0.6000000000000001,-0.15359000000000034,-44.142999999999994,0.0,-0.09802,-0.25161000000000033,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,4.76074,7.75146,18.7988,
2020-05-10 21:33:03 +0900,0.7000000000000001,-0.19363000000000063,-45.05459999999999,0.0,-0.11186000000000007,-0.3054900000000007,41.5888,-3.4657999999999944,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,3.11279,5.43213,27.4048,
2020-05-10 21:33:03 +0900,0.8,-0.18577000000000066,-45.05459999999999,0.0,-0.07857000000000003,-0.2643400000000007,41.5888,-3.4657999999999944,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,4.3335,2.68555,21.5454,
2020-05-10 21:33:03 +0900,0.9,-0.17980000000000107,-44.142999999999994,0.0,-0.05903999999999954,-0.2388400000000006,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-4.88281,-2.62451,15.1978,
2020-05-10 21:33:03 +0900,1.0,-0.1925700000000008,-44.142999999999994,0.0,-0.05903999999999954,-0.25161000000000033,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-7.14111,-8.42285,9.64355,
2020-05-10 21:33:04 +0900,1.1,-0.19933000000000067,-44.142999999999994,0.0,-0.06182999999999961,-0.2611600000000003,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-8.60596,-14.0991,-5.00488,
2020-05-10 21:33:04 +0900,1.2000000000000002,-0.21316000000000113,-43.02719999999999,0.0,-0.07020999999999944,-0.28337000000000057,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-11.3525,-13.1226,-7.99561,
2020-05-10 21:33:04 +0900,1.3,-0.2060600000000008,-41.5888,0.0,-0.0646299999999993,-0.2706900000000001,41.5888,0.0,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-13.4277,-7.75146,-8.97217,
2020-05-10 21:33:04 +0900,1.4000000000000001,-0.1536400000000011,-43.02719999999999,0.0,-0.03381999999999952,-0.18746000000000063,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-11.9019,-5.67627,-14.2822,
2020-05-10 21:33:04 +0900,1.5,-0.11845000000000105,-43.02719999999999,0.0,-0.03662999999999972,-0.15508000000000077,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-8.05664,-0.732422,-4.57764,
2020-05-10 21:33:04 +0900,1.6,-0.08631000000000011,-44.142999999999994,0.0,-0.03943999999999992,-0.12575000000000003,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-0.793457,-1.2207,0.915527,
2020-05-10 21:33:04 +0900,1.7000000000000002,-0.06762000000000068,-44.142999999999994,0.0,-0.04504999999999981,-0.11267000000000049,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,9.64355,-3.05176,6.7749,
2020-05-10 21:33:04 +0900,1.8,-0.06576000000000093,-44.142999999999994,0.0,-0.053449999999999775,-0.1192100000000007,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-1.09863,2.13623,18.3716,
2020-05-10 21:33:04 +0900,1.9000000000000001,-0.029950000000000365,-44.142999999999994,0.0,-0.03662999999999972,-0.06658000000000008,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,4.82178,-7.75146,-20.0806,
2020-05-10 21:33:04 +0900,2.0,-0.032760000000000566,-44.142999999999994,0.0,-0.03381999999999952,-0.06658000000000008,41.5888,-2.5541999999999945,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,1.77002,-0.244141,-22.644,
2020-05-10 21:33:05 +0900,2.1,-0.06249000000000038,-43.02719999999999,0.0,-0.053449999999999775,-0.11594000000000015,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-3.41797,-2.56348,-9.33838,
2020-05-10 21:33:05 +0900,2.2,-0.09831000000000056,-43.02719999999999,0.0,-0.07298999999999989,-0.17130000000000045,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,2.62451,3.17383,5.00488,
2020-05-10 21:33:05 +0900,2.3000000000000003,-0.13805000000000067,-43.02719999999999,0.0,-0.10078999999999994,-0.2388400000000006,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-2.13623,0.915527,14.5874,
2020-05-10 21:33:05 +0900,2.4000000000000004,-0.13956000000000035,-41.5888,0.0,-0.08969000000000005,-0.2292500000000004,41.5888,0.0,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-0.244141,3.54004,33.6914,
2020-05-10 21:33:05 +0900,2.5,-0.11960000000000104,-41.5888,0.0,-0.0646299999999993,-0.18423000000000034,41.5888,0.0,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-0.183105,5.43213,42.9688,
2020-05-10 21:33:05 +0900,2.6,-0.12606000000000073,-43.02719999999999,0.0,-0.0646299999999993,-0.19069000000000003,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,0.366211,7.14111,43.457,
2020-05-10 21:33:05 +0900,2.7,-0.1251900000000008,-43.02719999999999,0.0,-0.05903999999999954,-0.18423000000000034,41.5888,-1.4383999999999943,0,0,0,0,1,282:FRAME_rest.png,0.0,0.0,0.0,-1.28174,3.11279,32.7148,
